Alan Ford;90;Il botto delle 12 e 15 ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;91;Pop Art ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;92;Il terribile Krack-Fu ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;93;Riappare Baby Kate ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;94;Il piromane ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;95;Luna chiama Skylab ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;96;La minaccia dallo spazio ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;97;Il pugno proibito ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;98;Una ragazza di nome Brenda ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;99;Broadway ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;100;Le colline nere del Sud Dakota ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;101;Funeral party ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;102;La banda degli straccioni ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;103;La statua della liberta` e` scomparasa ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;104;Scacco matto al Trio Fantasticus ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;105;Il grande giorno di Marajah Blitz ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;106;Do-Re-Mi ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;107;Safari alla rogna ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;108;Dai, dai Samurai ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;109;La beffa di Clodoveo ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;110;Gommaflex ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;111;Mistero alla fattoria ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;112;Ipnos ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;113;La gamba de legn ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;115;Destinazione Chicago ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;116;Ai bei tempi che furono ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;117;Superciuk vive ancora ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;118;Per un goccio di barbera in piu` ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;119;Fauci ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;120;Katodik ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;122;Il giorno delle vendette ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;123;L`ombra di Katodik ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;125;Super razza maggiore ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;126;El Rapador ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;127;Frod uno, Frod due ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;128;Mexico ole` ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;129;Caramba ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;131;Luna Park ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;133;Ritorna Gommaflex ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;134;La vendetta di Gommaflex ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;135;L`inafferrabile ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;137;Kartoffeln ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;138;Bob a due ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;140;L`eredita` Texana ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;141;Il genio della pubblicita` ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;142;Il pescecane parlante ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;143;Il nuovo Supefciuk ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;144;La fiatata mortale ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;145;Il nemico pubblico numero uno ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;146;Rebus ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;148;Fifa al`Onu ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;149;Wurdalack non molla, succhia! ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;150;Kriminalissimo ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;151;Il due di picche ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;152;La lampada magica ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;153;Il feticcio ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
